appid,steamspy_tags
6120,Action,Indie,Beat 'em up,
6200,Strategy,Comedy,Puzzle,
6210,Strategy,Simulation,Management,
6220,Racing,Destruction,Driving,
6250,Strategy,Action,Grand Strategy,
6270,Racing,Simulation,
6300,Adventure,Female Protagonist,Story Rich,
6310,Adventure,Point & Click,Female Protagonist,
6370,Free to Play,Action,MOBA,
6400,Strategy,Action,RTS,
6420,Strategy,Space,Sci-fi,
6510,Action,Adventure,Third-Person Shooter,
6550,Action,Hack and Slash,Great Soundtrack,
6800,Strategy,Stealth,Action,
6810,Action,Strategy,Tactical,
6830,Strategy,Tactical,Stealth,
6840,Strategy,Action,Tactical,
6850,Stealth,Action,Third Person,
6860,Stealth,Action,Third Person,
6870,Action,World War II,Naval,
6880,Action,Open World,Shooter,
6900,Stealth,Action,Classic,
6910,Cyberpunk,RPG,Stealth,
6920,Cyberpunk,Action,FPS,
6980,Stealth,Atmospheric,Action,
7000,Adventure,Action,Female Protagonist,
7010,Action,FPS,Cyberpunk,
7020,Action,Third-Person Shooter,Sci-fi,
7110,RPG,Fantasy,Story Rich,
7200,Racing,Multiplayer,Level Editor,
7210,Adventure,Point & Click,Mystery,
7220,Adventure,Point & Click,Mystery,
7260,RPG,Hack and Slash,Action,
7340,Casual,Indie,Puzzle,
7510,Action,Hack and Slash,Female Protagonist,
7520,RPG,Open World,Fantasy,
7530,Strategy,Tower Defense,Fantasy,
7600,Strategy,Trains,Management,
7610,Strategy,Management,Trains,
7620,Strategy,Management,Trains,
7650,Strategy,Turn-Based,Sci-fi,
7660,Strategy,Turn-Based,Tactical,
7730,Strategy,Sci-fi,Space,
7760,Strategy,Classic,Turn-Based Strategy,
7770,Strategy,Action,Shooter,
7830,Strategy,World War II,RTS,
7840,Racing,Action,Shooter,
7860,Action,FPS,World War I,
7940,FPS,Action,Multiplayer,
8000,Action,Adventure,Female Protagonist,
8080,Action,Third-Person Shooter,Crime,
8100,Action,FPS,Singleplayer,
8140,Adventure,Action,Female Protagonist,
8170,World War II,Strategy,Action,
8190,Open World,Action,Sandbox,
8310,Adventure,Point & Click,
8320,Adventure,Point & Click,
8330,Casual,Card Game,
8340,Adventure,Point & Click,Comedy,
8400,Arcade,Twin Stick Shooter,Casual,
8500,Space,Massively Multiplayer,Sci-fi,
8600,Racing,Simulation,Driving,
8790,Racing,Simulation,Sports,
8800,Strategy,Turn-Based Strategy,4X,
8870,FPS,Story Rich,Action,
8880,RPG,Strategy,Superhero,
8890,RPG,Strategy,Superhero,
8930,Turn-Based Strategy,Strategy,Turn-Based,
8970,Indie,Point & Click,
9000,Action,FPS,Classic,
9010,FPS,Action,Classic,
9030,Action,FPS,Shooter,
9040,Action,FPS,Shooter,
9050,Horror,FPS,Action,
9060,Action,FPS,Classic,
9160,Action,FPS,Classic,
9180,Platformer,Classic,Action,
9200,FPS,Post-apocalyptic,Action,
9310,Strategy,Warhammer 40K,RTS,
9340,Strategy,RTS,Action,
9350,Strategy,RTS,Sci-fi,
9420,Strategy,RTS,Sci-fi,
