appid,genres,steamspy_tags,categories
791430,Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,Strategy;Adventure;Action,Single-player
791470,Indie,Indie;Local Co-Op;Puzzle-Platformer,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud;Includes level editor
791490,Action;Indie;Strategy,Action;Strategy;Indie,Single-player;Steam Achievements
791500,Casual;Strategy,Strategy;Casual,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements
791540,Casual;Indie;Simulation,Indie;Casual;Simulation,Single-player;Steam Achievements
791570,Racing;Simulation;Strategy;Early Access,Early Access;Racing;Strategy,Single-player
791590,Indie;Simulation,Gore;Simulation;Indie,Single-player
791600,Action;Adventure;Casual;Indie;RPG;Strategy,Action;Casual;Strategy,Single-player;Steam Achievements;Full controller support
791700,Action;Adventure;Indie,Adventure;Indie;Action,Single-player;Steam Achievements;Full controller support
791740,Nudity;Violent;Gore;Action;Indie;Simulation,Action;Indie;Simulation,Single-player
791750,Adventure;Casual;Indie,Indie;Adventure;Casual,Single-player;Steam Achievements
791760,Action;Adventure;Indie;Strategy,Action;Adventure;Strategy,Single-player;Steam Achievements
791770,Action;Adventure;Indie;Simulation;Early Access,Early Access;Action;Horror,Single-player;Partial Controller Support
791790,Action;Adventure;Indie,Adventure;Action;Indie,Single-player
791800,Strategy,Strategy;Turn-Based Tactics;Tactical,Single-player;Steam Achievements
791930,Casual;Free to Play;Indie,Free to Play;Casual;Indie,Online Multi-Player;Partial Controller Support
791950,Adventure;Casual;Indie;Simulation,Casual;Simulation;Adventure,Single-player;Steam Achievements;Full controller support
791960,Action;Casual;Indie,Casual;Action;Indie,Single-player
791970,Action;Casual;Indie;Strategy,Strategy;Action;Indie,Single-player;Steam Achievements
791990,Indie;Simulation;Sports;Strategy,Simulation;Strategy;Sports,Single-player;Local Multi-Player
792000,Casual;Indie;Strategy,Casual;Indie;Strategy,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards
792030,Single-player;Steam Achievements,Casual;Indie,0
792050,Sports,Sports;Fishing;Free to Play,Single-player
792060,Action,Action;Fighting;2D,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud
792070,Casual;Indie;RPG,RPG;Indie;Casual,Single-player;Full controller support
792080,Indie,Indie,Single-player
792100,Indie;Simulation,Indie;Simulation;Programming,Single-player;Steam Achievements
792160,Adventure;Casual;Strategy,Adventure;Casual;Strategy,Single-player;Steam Achievements
792190,Action;Indie,Action;Indie;Shoot 'Em Up,Single-player;Steam Achievements;Partial Controller Support
792230,Action;Casual;Indie,Action;Indie;Casual,Single-player;Steam Cloud
792320,Action;Casual;Indie;Early Access,Early Access;Action;Indie,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Full controller support
792340,Casual;Indie,Indie;Casual;VR,Single-player;Steam Achievements;Full controller support;Steam Cloud
792350,Action;Indie,Action;Indie,Single-player;Steam Achievements;Steam Leaderboards
792370,Adventure,Adventure;Point & Click;Indie,Single-player;Steam Achievements;Steam Cloud
792400,0,Online Multi-Player,windows
792410,Casual;Indie,Indie;Casual,Single-player;Steam Achievements
792480,Action;Casual;Free to Play;Indie;Early Access,Early Access;Free to Play;Casual,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support;Steam Cloud
792500,Action;Adventure;Indie;Early Access,Early Access;Action;Indie,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support
792560,Action;Adventure;Indie,Action;Adventure;Indie,Single-player;Steam Achievements;Partial Controller Support
792570,Free to Play;Indie;Strategy;Early Access,Early Access;Free to Play;Indie,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases
792640,Casual;Indie,Indie;Casual,Single-player;Steam Achievements;Steam Leaderboards
792650,Casual;Indie;Simulation;Strategy,Casual;Indie;Simulation,Single-player;Steam Achievements;Steam Cloud
792660,Simulation;Strategy,Strategy;Simulation;Wargame,Single-player;Multi-player;Shared/Split Screen;Steam Workshop
792670,Action;Casual;Simulation;Strategy;Early Access,Early Access;Action;Casual,Single-player;Steam Achievements
792680,Violent;Gore;Action;Indie,Action;Indie;Gore,Single-player;Partial Controller Support;Steam Cloud
792710,Action;Early Access,Early Access;Level Editor;Platformer,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support;Includes level editor
792720,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements,windows
792760,Violent;Gore;Indie,Indie;Gore;Violent,Single-player;Steam Achievements
792800,Action;Adventure;Casual;Indie,Action;Adventure;Indie,Single-player;Steam Achievements;Partial Controller Support
792810,Adventure;Casual;Indie;Simulation,Adventure;Indie;Casual,Single-player
792820,Adventure,Adventure,Single-player
792850,Indie,Indie;Multiplayer;Puzzle,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support
792860,Action;Casual;Indie,Indie;Action;Casual,Single-player;Steam Achievements;Full controller support
792870,Action;Adventure;Casual;Indie,Action;Indie;Casual,Single-player;Partial Controller Support
792880,Action;Indie,Action;Indie;Stealth,Single-player;Steam Achievements;Full controller support;Steam Cloud
792900,Violent;Action,Action;Violent,Single-player
792930,Indie;Simulation;Strategy,Strategy;Simulation;Indie,Single-player;Multi-player;Shared/Split Screen;Steam Achievements
792940,Action;Adventure;Indie;RPG;Simulation;Early Access,Early Access;Action;Adventure,Single-player;Captions available;Partial Controller Support;Steam Cloud
792970,Indie;Racing;Early Access,Early Access;Indie;Racing,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud
792990,Adventure;Massively Multiplayer;RPG;Simulation;Early Access,Early Access;RPG;Massively Multiplayer,Multi-player;Online Multi-Player;MMO;Partial Controller Support
793000,Action;Casual;Indie,Indie;Casual;Action,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards
793010,Violent;Action;Casual;Indie,Action;Indie;Casual,Single-player;Local Multi-Player;Full controller support
793030,Action;Indie;Early Access,Early Access;Action;Indie,Single-player
793050,0,Single-player;Multi-player;Online Multi-Player;In-App Purchases,windows
793150,Free to Play;Simulation,Free to Play;Simulation;Anime,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases
793180,Adventure;Casual;Indie;RPG;Simulation;Strategy,Strategy;Adventure;RPG,Single-player;Steam Achievements
793200,Adventure;Casual;Indie,Adventure;Indie;Casual,Single-player;Steam Achievements;Partial Controller Support
