appid,genres,steamspy_tags,categories
10,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
20,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
30,Action,FPS;World War II;Multiplayer,Multi-player;Valve Anti-Cheat enabled
40,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
50,Action,FPS;Action;Sci-fi,Single-player;Multi-player;Valve Anti-Cheat enabled
60,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled
70,Action,FPS;Classic;Action,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled
80,Action,Action;FPS;Multiplayer,Single-player;Multi-player;Valve Anti-Cheat enabled
130,Action,FPS;Action;Sci-fi,Single-player
220,Action,FPS;Action;Sci-fi,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK
240,Action,Action;FPS;Multiplayer,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK
280,Action,FPS;Action;Sci-fi,Single-player
300,Action,FPS;World War II;Multiplayer,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK
320,Action,Action;FPS;Multiplayer,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK
340,Action,FPS;Action;Singleplayer,Single-player;Commentary available
360,Action,Action;FPS;Multiplayer,Multi-player;Valve Anti-Cheat enabled
380,Action,FPS;Action;Sci-fi,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available
400,Action,Puzzle;First-Person;Singleplayer,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available
420,Action,FPS;Action;Sci-fi,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available
440,Action;Free to Play,Free to Play;Multiplayer;FPS,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available
500,Action,Zombies;Co-op;FPS,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available
550,Action,Zombies;Co-op;FPS,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available
570,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled
620,Action;Adventure,Puzzle;Co-op;First-Person,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available
630,Action,Free to Play;Co-op;Action,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor
730,Action;Free to Play,FPS;Multiplayer;Shooter,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats
1002,Indie,Indie;Fighting;Multiplayer,Single-player;Multi-player
1200,Action,World War II;Action;FPS,Multi-player;Steam Achievements;Valve Anti-Cheat enabled
1250,Action,FPS;Zombies;Co-op,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor
1300,Action,Action;FPS;Cyberpunk,Single-player;Stats
1500,Indie;Strategy,Strategy;Indie;RTS,Single-player
1510,Indie;Strategy,Hacking;Indie;Strategy,Single-player
1520,Indie;Strategy,Strategy;Indie;Multiplayer,Single-player;Multi-player
1530,Indie,Indie;RTS;Strategy,Single-player;Multi-player;Steam Achievements
1600,Strategy,Strategy;Simulation;Naval,Single-player;Multi-player
1610,Strategy,Strategy;4X;Sci-fi,Single-player;Multi-player
1630,Strategy,Strategy;Turn-Based Strategy;Fantasy,Single-player;Multi-player;Co-op
1640,Strategy,Turn-Based Strategy;Strategy;Classic,Single-player;Multi-player;Co-op
1670,Strategy,Simulation;Strategy;Tanks,Single-player;Multi-player
1690,Strategy,Strategy;4X;Space,Single-player;Multi-player
1700,RPG,RPG;First-Person;Classic,Single-player
1840,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,Steam Workshop
1900,Strategy,Strategy;RTS;Sci-fi,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards
1930,RPG,RPG;Open World;Fantasy,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support
2100,Action;RPG,RPG;Action;First-Person,Single-player;Multi-player;Valve Anti-Cheat enabled
2200,Action,FPS;Action;Classic,Single-player;Multi-player;Steam Cloud
2210,Action,FPS;Action;Shooter,Single-player;Multi-player;Steam Cloud
2270,Action,FPS;Classic;Action,Single-player;Steam Cloud
2280,Action,Classic;FPS;Action,Single-player;Steam Cloud
2290,Action,FPS;Action;Classic,Single-player;Steam Cloud
2300,Action,Classic;FPS;Action,Single-player;Multi-player;Steam Cloud
2310,Action,FPS;Classic;Action,Single-player;Multi-player;Co-op;Steam Cloud
2320,Action,FPS;Action;Classic,Single-player;Multi-player;Co-op;Steam Cloud
2330,Action,Action;FPS;Classic,Single-player;Multi-player;Steam Cloud
2340,Action,Action;FPS;Shooter,Single-player;Multi-player;Steam Cloud
2350,Action,Action;FPS;Competitive,Single-player;Multi-player;Steam Cloud
2360,Action,Action;FPS;Classic,Single-player;Steam Cloud
2370,Action,Action;FPS;Classic,Single-player;Steam Cloud
2390,Action,Classic;Action;FPS,Single-player;Multi-player;Steam Cloud
2400,Action;Indie;RPG,Multiplayer;Indie;Action,Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled
2450,Action,Action;Multiplayer;FPS,Single-player;Multi-player;Steam Achievements
2500,Action,Action;Sci-fi;Top-Down Shooter,Single-player;Shared/Split Screen;Steam Trading Cards
2520,0,Single-player,windows
2590,Action,Action;FPS;Sci-fi,Single-player
2600,Action,RPG;Vampire;Cult Classic,Single-player
2610,Action,Western;Action;Open World,Single-player
2620,Action,FPS;World War II;Action,Single-player;Multi-player
2630,Action,Action;World War II;FPS,Single-player;Multi-player
2640,Action,Action;World War II;FPS,Single-player;Multi-player
2710,Action,Action;Strategy;RTS,Single-player;Multi-player
2720,Action;Indie;Strategy,Strategy;Action;Indie,Single-player;Multi-player;Includes level editor
2780,Action,Action;Simulation;Shooter,Single-player;Multi-player;Includes level editor
2800,Strategy,Space;Strategy;Simulation,Single-player;Captions available;Steam Cloud
2810,Strategy,Space;Simulation;Strategy,Single-player;Captions available;Steam Cloud
2820,Action;Simulation;Strategy,Space;Simulation;Sci-fi,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud
2840,Simulation;Strategy,Simulation;Space;Strategy,Single-player;Steam Cloud
2850,Simulation;Strategy,Simulation;Strategy;Space,Single-player;Steam Cloud
2870,Action;Simulation,Space;Simulation;Sci-fi,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud
2900,Strategy,Strategy;Simulation;Naval,Single-player;Multi-player
2910,Strategy,Strategy;Simulation;Naval,Single-player
2920,Strategy,Strategy;Simulation;Naval,Single-player;Multi-player;Co-op;Includes level editor
2990,Racing,Racing;Destruction;Multiplayer,Single-player
3010,Racing,Racing;Multiplayer,Single-player;Multi-player
3020,Action,Western;Action;FPS,Single-player;Multi-player;Steam Trading Cards
3050,Racing,Racing;Offroad;Simulation,Single-player;Multi-player
3130,Strategy,Strategy;World War II;RTS,Single-player;Steam Cloud
3170,RPG;Strategy,RPG;Turn-Based Strategy;Strategy,Single-player;Steam Cloud
3230,Strategy,Strategy;Space;Sci-fi,Single-player;Multi-player
3260,Adventure;Casual,Puzzle;Adventure;Casual,Single-player
3270,Action,Action;FPS;Shooter,Single-player;Multi-player
3330,0,Single-player,windows;mac
3410,0,Single-player,windows
3480,0,Single-player,windows;mac
3483,0,Single-player,windows
3490,0,Single-player,windows
3500,Single-player,Casual,0
3510,Single-player,Casual,0
3520,Single-player,Casual,0
3530,Single-player,Casual,0
3540,0,Single-player,windows;mac
3560,0,Single-player,windows
3570,Single-player,Casual,0
3580,0,Single-player,windows
3590,0,Single-player;Steam Achievements,windows;mac
3600,Single-player,Casual,0
3610,Single-player,Casual,0
3620,0,Single-player;Steam Achievements;Stats,windows
3700,Action,Action;Sniper;Stealth,Single-player;Steam Trading Cards
3710,Action,Action;FPS;First-Person,Single-player;Multi-player;Co-op
3720,Strategy,Base-Building;Strategy;Villain Protagonist,Single-player
3730,Action,FPS;Action;Classic,Single-player;Multi-player
3800,Action,Action;Sci-fi;Story Rich,Single-player;Steam Trading Cards
3810,Action,Action;Vampire;Female Protagonist,Single-player;Steam Trading Cards
3820,Action,Action;Vampire;Female Protagonist,Single-player;Steam Trading Cards
3830,Action,Platformer;Comedy;Adventure,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud
3900,Strategy,Strategy;Turn-Based Strategy;Turn-Based,Single-player;Multi-player;Includes level editor
3910,Strategy,Strategy;Turn-Based Strategy;Turn-Based,Single-player;Multi-player;Includes level editor
3920,RPG,Pirates;Open World;RPG,Single-player
3960,Strategy,Strategy;Turn-Based Strategy,Single-player;Multi-player
3980,Strategy,Strategy;City Builder;Simulation,Single-player
3990,Strategy,Strategy;Turn-Based;4X,Single-player
4000,Indie;Simulation,Sandbox;Multiplayer;Funny,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor
4100,Casual;Strategy;Indie,Card Game,Single-player
4230,Racing,Racing;Simulation,Single-player;Multi-player
4290,Racing,Racing;Simulation,Single-player;Multi-player
4300,Action;Indie,Action;Indie;Puzzle,Single-player;Partial Controller Support;Includes level editor
4420,RPG,RPG;Hack and Slash;Action RPG,Single-player
4460,Simulation;Strategy,Simulation;Strategy;City Builder,Single-player
4470,RPG,RPG;Hack and Slash;Action RPG,Single-player;Multi-player
4500,Action;RPG,Atmospheric;Post-apocalyptic;Open World,Single-player;Multi-player
4520,Action;Strategy,Strategy;Action;Tactical,Single-player;Multi-player;Co-op
4530,Action;Strategy,Strategy;Action;Tactical,Single-player;Multi-player;Co-op
4560,Violent;Action;Strategy,Strategy;RTS;World War II,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud
4570,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,Strategy,16
4580,Single-player;Multi-player;Steam Cloud,Strategy,16
4700,Strategy,Strategy;Medieval;Historical,Single-player;Multi-player;Steam Trading Cards
4720,Action,Horror;Action;Atmospheric,Single-player
4760,Strategy,Strategy;Historical;Rome,Single-player;Multi-player;Steam Trading Cards
4770,Strategy,Strategy;RTS;Historical,Single-player;Multi-player
4780,Strategy,Strategy;Medieval;Historical,Single-player;Multi-player
4800,Strategy,Strategy;RTS;RPG,Single-player;Multi-player
4850,Strategy,Strategy;RTS;Classic,Single-player;Multi-player
4870,Strategy,Strategy;RTS;Historical,Single-player
4880,Strategy,Strategy;RTS;Historical,Single-player
4890,Strategy,Strategy;RTS;Historical,Single-player;Multi-player;Online Multi-Player;Local Multi-Player
4900,Casual;Indie,Casual;Indie;Puzzle,Single-player
4920,Action;Indie;Strategy,Multiplayer;Strategy;FPS,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor
6000,Action,Star Wars;Action;FPS,Single-player;Multi-player;Local Multi-Player;Steam Cloud
6010,Adventure,Adventure;Point & Click;Classic,Single-player;Steam Cloud
6020,Action,Star Wars;Action;Sci-fi,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud
6030,Action,Star Wars;Action;Classic,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud
6040,Adventure,Adventure;Point & Click;Sci-fi,Single-player;Steam Cloud
6060,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud,Action,0
6080,Action;Adventure;Racing;Simulation;Strategy,Simulation;Strategy;Action,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud
6090,Action,Action;Comedy;Third-Person Shooter,Single-player;Steam Cloud
6120,Action;Indie,Action;Indie;Beat 'em up,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud
6200,Strategy,Strategy;Comedy;Puzzle,Single-player
6210,Strategy,Strategy;Simulation;Management,Single-player
6220,Racing,Racing;Destruction;Driving,Single-player;Multi-player
6250,Action;Strategy,Strategy;Action;Grand Strategy,Single-player;Multi-player
6270,Racing,Racing;Simulation,Single-player;Multi-player
6300,Adventure;RPG,Adventure;Female Protagonist;Story Rich,Single-player
6310,Action;Adventure;RPG,Adventure;Point & Click;Female Protagonist,Single-player
6370,Action;Free to Play;Massively Multiplayer,Free to Play;Action;MOBA,Single-player;Multi-player;MMO
6400,Action;Strategy,Strategy;Action;RTS,Single-player;Multi-player;Co-op;Shared/Split Screen
6420,Indie;Simulation;Strategy,Strategy;Space;Sci-fi,Single-player;Multi-player;Includes level editor
6510,Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled,Action;Adventure,0
6550,Single-player;Partial Controller Support,Action,0
6800,Action,Strategy;Stealth;Action,Single-player;Multi-player;Co-op
6810,Action,Action;Strategy;Tactical,Single-player;Multi-player;Co-op
6830,Action,Strategy;Tactical;Stealth,Single-player;Multi-player;Co-op
6840,Action,Strategy;Action;Tactical,Single-player;Multi-player;Co-op
6850,Action,Stealth;Action;Third Person,Single-player
6860,Action,Stealth;Action;Third Person,Single-player
6870,Action,Action;World War II;Naval,Single-player
6880,Action,Action;Open World;Shooter,Single-player
6900,Action,Stealth;Action;Classic,Single-player
6910,Action,Cyberpunk;RPG;Stealth,Single-player;Multi-player
6920,Action,Cyberpunk;Action;FPS,Single-player
6980,Action,Stealth;Atmospheric;Action,Single-player
7000,Action;Adventure,Adventure;Action;Female Protagonist,Single-player;Partial Controller Support
7010,Action,Action;FPS;Cyberpunk,Single-player;Multi-player
7020,Action,Action;Third-Person Shooter;Sci-fi,Single-player;Multi-player;Co-op
7110,RPG,RPG;Fantasy;Story Rich,Single-player;Partial Controller Support
7200,Racing,Racing;Multiplayer;Level Editor,Single-player;Multi-player;Includes level editor
7210,Single-player,Adventure,0
7220,Single-player,Adventure,0
7260,RPG,RPG;Hack and Slash;Action,Single-player;Multi-player
7340,Casual;Indie,Casual;Indie;Puzzle,Single-player
7510,Nudity;Violent;Action;Adventure;RPG,Action;Hack and Slash;Female Protagonist,Single-player;Steam Trading Cards;Partial Controller Support
7520,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Nudity;Violent;RPG,0
7530,Strategy,Strategy;Tower Defense;Fantasy,Single-player;Steam Trading Cards;Steam Cloud
7600,Strategy,Strategy;Trains;Management,Single-player;Multi-player
7610,Strategy,Strategy;Management;Trains,Single-player;Multi-player
7620,Strategy,Strategy;Management;Trains,Single-player
7650,Single-player,Strategy,0
7660,Single-player,Strategy,0
7730,Single-player;Multi-player,Strategy,0
7760,Single-player,Strategy,0
7770,Single-player;Multi-player,Strategy,0
7830,Strategy,Strategy;World War II;RTS,Single-player;Multi-player;Steam Cloud;Includes level editor
7840,Racing,Racing;Action;Shooter,Single-player;Steam Cloud
7860,Action,Action;FPS;World War I,Single-player;Multi-player;Steam Cloud
7940,Action,FPS;Action;Multiplayer,Single-player;Multi-player
8000,Action;Adventure,Action;Adventure;Female Protagonist,Single-player;Partial Controller Support
8080,Action,Action;Third-Person Shooter;Crime,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support
8100,Action,Action;FPS;Singleplayer,Single-player
8140,Action;Adventure,Adventure;Action;Female Protagonist,Single-player
8170,Action;Strategy,World War II;Strategy;Action,Single-player;Multi-player;Partial Controller Support
8190,Action;Adventure,Open World;Action;Sandbox,Single-player;Steam Achievements;Full controller support;Steam Cloud
8310,Adventure,Adventure;Point & Click,Single-player
8320,Adventure,Adventure;Point & Click,Single-player
8330,Casual,Casual;Card Game,Single-player
8340,Adventure,Adventure;Point & Click;Comedy,Single-player
8400,Casual,Arcade;Twin Stick Shooter;Casual,Single-player;Full controller support
8500,Action;Free to Play;Massively Multiplayer;RPG;Strategy,Space;Massively Multiplayer;Sci-fi,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards
8600,Racing,Racing;Simulation;Driving,Single-player;Multi-player
8790,Racing;Simulation;Sports,Racing;Simulation;Sports,Single-player;Multi-player
8800,Strategy,Strategy;Turn-Based Strategy;4X,Single-player
8870,Action,FPS;Story Rich;Action,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud
8880,RPG;Strategy,RPG;Strategy;Superhero,Single-player;Multi-player
8890,RPG;Strategy,RPG;Strategy;Superhero,Single-player;Multi-player
8930,Strategy,Turn-Based Strategy;Strategy;Turn-Based,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud
8970,Indie,Indie;Point & Click,Single-player;Steam Achievements
9000,Action,Action;FPS;Classic,Single-player;Steam Cloud
9010,Action,FPS;Action;Classic,Single-player;Multi-player;Steam Cloud
9030,Action,Action;FPS;Shooter,Single-player;Multi-player;Steam Cloud
9040,Action,Action;FPS;Shooter,Single-player;Multi-player;Steam Cloud
9050,Action,Horror;FPS;Action,Single-player;Multi-player;Steam Cloud
9060,Action,Action;FPS;Classic,Single-player;Multi-player;Co-op;Steam Cloud
9160,Action,Action;FPS;Classic,Single-player;Steam Cloud
9180,Action,Platformer;Classic;Action,Single-player;Steam Cloud
9200,Action,FPS;Post-apocalyptic;Action,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support
9310,Single-player;Multi-player,Strategy,16
9340,Action;Strategy,Strategy;RTS;Action,Single-player;Multi-player;Steam Cloud
9350,Strategy,Strategy;RTS;Sci-fi,Single-player;Multi-player
9420,Strategy,Strategy;RTS;Sci-fi,Single-player;Multi-player
9450,Single-player;Multi-player;Steam Cloud,Strategy,16
9460,Action,Action;FPS;Shooter,Single-player;Co-op;Steam Cloud
9480,Action,Open World;Action;Character Customization,Single-player;Steam Cloud
9500,Indie,Indie;Platformer;Physics,Single-player;Multi-player
9710,Action,Action;Western;Strategy,Single-player
9760,Action,Action;Strategy;RTS,Single-player;Multi-player
9800,Action;Adventure,Stealth;Action;Adventure,Single-player;Steam Cloud
9850,Simulation;Strategy,Strategy;Simulation;RTS,Single-player;Multi-player;Co-op
9880,Free to Play;Massively Multiplayer;RPG,Free to Play;Superhero;Massively Multiplayer,Multi-player;MMO;Co-op;Steam Achievements
9900,Free to Play;Massively Multiplayer;RPG,Free to Play;Sci-fi;Space,Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases
9940,Action;Adventure,Anime;Platformer;Female Protagonist,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud
9960,Adventure,Adventure,Single-player;Partial Controller Support
9970,Action,Action;Space,Single-player;Partial Controller Support
9980,Casual,Casual;Puzzle;Relaxing,Single-player
10090,Action,Zombies;World War II;FPS,Single-player;Multi-player;Co-op
10100,Adventure,Adventure;Point & Click;Classic,Single-player
10110,Adventure,Adventure;Point & Click;Classic,Single-player
10120,Action;Casual,Action;Casual;Space,Single-player
10130,Action,Action;FPS;Time Manipulation,Single-player;Multi-player
10140,Sports,Sports;Mini Golf;Golf,Single-player
10150,Action;Adventure,Action;Open World;Adventure,Single-player
10180,Action,Action;FPS;Multiplayer,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled
10220,Action,Action;Dark Humor;Gore,Single-player;Steam Achievements
10230,Adventure,Adventure;Point & Click,Single-player
10240,Adventure,Adventure;Point & Click,Single-player
10250,Simulation,Simulation;Naval,Single-player;Multi-player
10260,Simulation,Simulation;Naval,Single-player;Multi-player
10270,RPG;Strategy,RPG;Turn-Based Strategy;Strategy,Single-player;Multi-player
10460,Action,Action;Third-Person Shooter;Arcade,Single-player;Multi-player;Partial Controller Support
10500,Strategy,Strategy;Historical;Military,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats
10680,Action,Action;FPS;Aliens,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards
11020,Racing,Racing;Free to Play;Multiplayer,Single-player;Multi-player;Includes level editor
11040,Adventure;RPG,Adventure;Detective;Point & Click,Single-player
11050,Adventure,Adventure;Point & Click;Vampire,Single-player
11130,Adventure,Adventure;Point & Click;Detective,Single-player
11140,Adventure,Adventure;Point & Click;Lovecraftian,Single-player
11150,Adventure,Adventure;Point & Click;Detective,Single-player
11190,Adventure;RPG,Adventure;Point & Click;Detective,Single-player
11200,Action,Action;Sci-fi;Isometric,Single-player;Shared/Split Screen;Steam Trading Cards;Includes level editor
11230,0,Single-player;Multi-player,windows
11240,Action;Indie;Strategy,Action;Space;FPS,Single-player;Multi-player;Co-op;Steam Achievements
11250,Simulation;Strategy,Strategy;Simulation;World War II,Single-player;Multi-player;Steam Trading Cards
11260,Simulation;Strategy,Simulation;Strategy;World War II,Single-player;Multi-player;Steam Trading Cards
11280,Action;Casual;Indie,Action;Casual;Indie,Single-player;Multi-player;Online Multi-Player;Steam Trading Cards
11330,Casual;Indie,Puzzle;Casual;Indie,Single-player;Steam Achievements
11340,Action;Indie,Action;Indie;Top-Down,Single-player;Steam Achievements
11360,Indie,Indie;Puzzle;Physics,Single-player
11450,RPG,RPG;Villain Protagonist;Third Person,Single-player;Partial Controller Support
11480,Strategy,Strategy;World War II;RTS,Single-player;Multi-player;Co-op
11560,Strategy,Strategy;RTS,Single-player
11590,Simulation,Simulation;Management;Singleplayer,Single-player
12100,Action,Open World;Action;Classic,Single-player;Partial Controller Support
12110,Action,Open World;Action;1980s,Single-player;Partial Controller Support
12120,Action,Open World;Action;Multiplayer,Single-player
12130,Action,Gore;Violent;Stealth,Single-player
12140,Action,Noir;Action;Classic,Single-player
12150,Action,Noir;Action;Third-Person Shooter,Single-player
12170,Action,Action;Classic;Open World,Single-player
12180,Action,Action;Classic;Open World,Single-player
12200,Action;Adventure,Open World;Action;Adventure,Single-player;Partial Controller Support
12210,Action;Adventure,Open World;Action;Bowling,Single-player;Multi-player;Partial Controller Support
12220,Action,Open World;Action;Multiplayer,Single-player;Multi-player
12310,RPG;Casual;Adventure,Adventure;RPG;Sci-fi,Single-player
12320,Action;RPG,RPG;Action;Hack and Slash,Single-player
12330,Action,Action;Space;Sci-fi,Single-player
12340,Adventure,Adventure;Point & Click;Comedy,Single-player;Steam Trading Cards
12360,Racing,Racing;Destruction;Multiplayer,Single-player;Multi-player
12390,Action,Action;FPS;Shooter,Single-player;Multi-player;Partial Controller Support
12420,Strategy,Strategy;RTS,Single-player;Multi-player
12430,Casual,Casual;Pinball,Single-player
12440,Adventure,Adventure;Point & Click;Comedy,Single-player
12450,Adventure,Adventure;Point & Click,Single-player
12460,Strategy,Strategy;RTS,Single-player;Multi-player
12470,Strategy,Strategy;Trading;Pirates,Single-player
12480,Strategy,Strategy;RTS;Military,Single-player
12500,Single-player;Multi-player;Steam Cloud,Casual,0
12510,Strategy,Strategy;Simulation,Single-player
12520,Racing,Simulation;Racing;Driving,Single-player
12530,Action;Adventure;Strategy,Action;Strategy;Adventure,Single-player
12540,Casual,Casual;Puzzle,Single-player
12560,Simulation,Simulation;Management,Single-player
12590,Racing,Racing,Single-player;Multi-player
12600,Racing,Racing,Single-player
12640,RPG,RPG;Fantasy;Party-Based RPG,Single-player
12670,Simulation,Simulation;Casual,Single-player
12710,RPG,RPG;Action;Villain Protagonist,Single-player;Partial Controller Support
12770,RPG,RPG;Action;Adventure,Single-player;Full controller support
12790,Action;Adventure,Action;Adventure;Steampunk,Single-player;Multi-player;Co-op
12810,RPG,RPG;Villain Protagonist;Fantasy,Single-player
12830,Action,Action;FPS;Tactical,Single-player;Partial Controller Support
13000,Casual;Indie,Indie;Casual;Ninja,Single-player;Multi-player;Steam Achievements
13140,Action,Action;Free to Play;FPS,Single-player;Multi-player;Steam Achievements;Steam Cloud
13200,0,Single-player,windows
13210,0,Single-player;Multi-player;Co-op;Steam Achievements,windows
13230,0,Single-player;Multi-player;Steam Trading Cards,windows
13240,0,Single-player;Multi-player,windows
13250,0,Single-player;Multi-player,windows
13500,Action;Adventure,Action;Adventure;Parkour,Single-player
13520,Action,FPS;Action;Classic,Single-player
13530,Action;Adventure,Action;Adventure;Platformer,Single-player;Partial Controller Support
13540,Action,Action;FPS;Tactical,Single-player;Multi-player
13560,Action,Stealth;Action;Third Person,Single-player
13570,Action,Stealth;Action;Third Person,Single-player
13580,Action,Stealth;Action;Third Person,Single-player
13600,Action;Adventure,Action;Adventure;Parkour,Single-player
13620,Action,Action;FPS;Tactical,Single-player;Multi-player
15000,Action,Action;FPS;Tactical,Single-player;Multi-player
15080,Action;Adventure,Adventure;Action;Psychological Horror,Single-player
15100,Action;Adventure,Action;Adventure;Open World,Single-player;Partial Controller Support
15120,Action,Action;Tactical;FPS,Single-player;Multi-player;Co-op
15130,Action;Adventure,Adventure;Female Protagonist;Action,Single-player
15160,Simulation,Simulation;Horses;Family Friendly,Single-player
15170,Strategy,Strategy;Turn-Based Strategy;Fantasy,Single-player
15190,Action,Action;FPS;World War II,Single-player
15200,Simulation,Simulation;Submarine;World War II,Single-player;Multi-player
15210,Simulation,Simulation;Naval;World War II,Single-player;Multi-player;Co-op
15240,Simulation,Simulation;Submarine;World War II,Single-player;Multi-player
15270,Action,Horror;Action;Survival Horror,Single-player
15300,Action,Tactical;FPS;Action,Single-player;Co-op
15320,Simulation,Simulation;Flight;World War II,Single-player;Multi-player;Steam Cloud;Includes level editor
15370,Strategy,Strategy;Turn-Based Strategy;Turn-Based,Single-player
15380,Strategy,Strategy;Turn-Based Strategy;Turn-Based,Single-player
15390,Action,Action;World War II;FPS,Single-player
15400,Strategy;Indie,Strategy;Indie;Tower Defense,Single-player;Steam Achievements
15500,0,Single-player;Steam Achievements;Partial Controller Support,windows
15520,0,Single-player;Steam Achievements;Steam Leaderboards,windows
15560,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,windows;mac;linux
15620,Single-player;Multi-player;Co-op;Steam Trading Cards;Steam Cloud,Strategy,0
15700,Adventure,Adventure;Platformer;Classic,Single-player;Steam Trading Cards
15710,Adventure,Adventure;Platformer;2D,Single-player
15740,Action;Adventure;Strategy,Adventure;Action;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support
15750,Action;Adventure;Strategy,Adventure;Action;Singleplayer,Single-player;Steam Achievements
15800,Indie;Casual,Indie;Casual,Single-player;Steam Achievements;Partial Controller Support
15900,Casual,Casual;Puzzle;Match 3,Single-player
15910,Casual,Casual,Single-player
15920,Casual,Casual,Single-player
15930,Casual,Casual;Match 3;Puzzle,Single-player
15960,Casual,Casual;Agriculture;Puzzle,Single-player
15970,Casual,Casual;Match 3,Single-player
16000,Casual,Casual;Hidden Object,Single-player
